Nome,Código QR / Valor do Código de Barras,Quantidade,O Aviso Crítico de Nível de Quantidade Está Ativado?,Nível de Quantidade Crítica,Descrição,Campo Adicional,É Favorito?,Contagem de Uso,Criar Data,Data de Actualização,Grupos Relacionados,Tags Relacionadas
MONITOR HP HP L190hb - 6-6,1290003100,1,Falso,0,MONITOR DE VIDEO COM TECNOLOGIA LCD -  TELA COM 19 POLEGADAS TFT DE MATRIZ ATIVA -  COLORIDO -  CAPACIDADE PLUG & PLAY -  ANGULO DE VISAO HORIZONTAL DE 160? -  ANGULO DE VISAO VERTICAL DE 150? -  DOT PITCH DE 0 - 3MM -  SUPORTE DE RESOLUCAO DE 1360x768 -  TEMPO DE RESPOSTA MAXIMA DE 8MS -  BRILHO DE NO MINIMO DE 250 CD-M2 -  POSSUI INTERFACE DE CONEXAO TIPO VGA-DVI -  POSSUI AJUSTE DE ALTURA NO MONITOR -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 0.8A -  MODELO: HP L190hb -  MARCA: HP. (GARANTIA: 36 (TRINTA E SEIS) MESES ON SITE A CONTAR DE 24-02-2011).,[Cod2Aud:3015],Falso,2,18.08.2023 19:06,22.08.2023 17:48,[7 andar],[Oficial de Justica]
TELEFONE VIDEOFONE POLYCOM - 2-2,1290003886,1,Falso,0,APARELHO DE VIDEOFONE -  SENDO: TERMINAL TELEFONICO IP MULTIMIDIA -  TELEFONE IP EMPRESARIAL COM VIDEO POLYCOM VVX1500 D DUAL STACK (SIP$H.323) -  COMPOSTO DE: TECLADO NUMERICO PADRAO ITU -  MONOFONE -  ALTO-FALANTE E MICROFONE PARA FUNCAO VIVA-VOZ -  CAMERA DA ALTA RESOLUCAO COM CONTROLE DE FOCO -  MANUAL OU AUTOMATICO -  DISPLAY COLORIDO -  CONECTOR PARA FONE EXTERNO -  SUPORTAR ALIMENTACAO LOCAL ATRAVES DE FONTE DE ALIMENTACAO E-OU UTILIZAR ALIMENTACAO SOBRE ETHERNET STANDARD 802.3AF -  ACOMPANHA FONTE 110-220V COM COMUTACAO AUTOMATICA -  DISPLAY EM LCD COM NO MINIMO 6 E RESOLUCAO DE 320X240 PIXELS -  LUZ DE FUNDO E MULTIPLAS PAGINAS DE FACILIDADES -  EXIBICAO DE MENU -  ANUNCIOS -  ALERTAS E OUTRAS MENSAGENS DO TELEFONE EM PORTUGUES E INGLES -  VISUALIZACAO PIP -  PADROES DE VIDEO: H.261 -  H.263 -  H.263+ E H.264 EM RESOLUCAO CIF -  OPERA 30 QUADROS-SEGUNDO APARTIR DE 256Kbps -  SUPORTE AOS CODECS G.711 -  G.722 -  G.722.1 E PROTOCOLOS PADRONIZADOS DE BANDA LARGA PARA 14KHZ -  CONVERSAO DOS MODOS VIVA-VOZ -  MONOFONE E FONE DE OUVIDO -  PROVER AS SEGUINTES FUNCOES DE TELEFONIA: CONFERENCIA ENTRE 3 PARTES -  ESTACIONAMENTO DE CHAMADAS -  TRANSFERENCIA DE CHAMADAS -  FUNCAO NAO PERTUBE -  TECLA PARA REDISCAGEM -  PROTOCOLOS FTP -  TFTP -  HTTP E-OU HTTPS PARA PROVISIONAMENTO REMOTO -  REGISTRO DE PELO MENOS 4 LINHAS JUNTO A 1 SERVIDOR SIP -  SWITCH INTERNO COM 2 INTERFACES ETHERNET 10 -100BASET AUTOSENSING E CONTROLE DE FLUXO PADRAO 802.3 -  MODELO: VVX1500 DUAL STACK -  MARCA:POLYCOM. (GARANTIA DE 2 (DOIS) ANOS A CONTAR DE 10-01-2011),[Cod2Aud:2541],Falso,1,18.08.2023 19:05,18.08.2023 19:05,,
REFRIGERADOR ELECTROLUX DFX42,1290004466,1,Falso,0,REFRIGERADOR FROST FREE -  MODELO DFX42 -  MARCA ELECTROLUX -  COM PAINEL BLUE TOUCH E PUXADOR DE METAL -  PRATELEIRA RETRATIL -  GAVETAO TRANSPARENTE -  PRATELEIRAS DA PORTA DO REFRIGERADOR 100% REMOVIVEIS -  COMPARTIMENTO DE CONGELAMENTO RAPIDO -  PRATELEIRA DO REFRIGERADOR EM VIDRO TEMPERADO -  PORTA DO FREEZER APROVEITAVEL -  PORTA-GARRAFA NO REFRIGERADOR -  CAPACIDADE ARMAZENAGEM TOTAL 370 LITROS -  CAPACIDADE REFRIGERADOR 280 LITROS -  CAPACIDADE FREEZER 90 LITROS -  ACABAMENTO-COR: INOX -  CONSUMO DE ENERGIA: A (MENOS 25% DE CONSUMO) -  CONSUMO: 51 KWH-MES -  TENSAO-VOLTAGEM: 110 VOLTS -  GARANTIA 12 MESES.,[Cod2Aud:0000],Falso,1,18.08.2023 19:05,18.08.2023 19:05,[6 andar],[Copa]
POLTRONA FIXA GIROFLEX PRETA 74-81,1290002901,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
APOIO PES STALO MDF - 1-22,1290004811,1,Falso,0,APOIO ERGONOMICO PARA OS PES -  MARCA STALO -  FABRICADO EM MDF -  ANTIDERRAPANTE -  PRETO,[Cod2Aud:0000],Falso,1,18.08.2023 19:07,04.09.2025 18:34,[6 andar],[Cartorio]
TELEFONE AVAYA - 6-21,1290003856,1,Falso,0,APARELHO TELEFONICO IP DESKPHONE DO SISTEMA DE TELEFONIA IP -  MODELO: 9611G -  MARCA: AVAYA. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 11-09-2012).,[Cod2Aud:3016],Falso,3,18.08.2023 19:05,27.08.2025 16:15,[7 andar],[Oficial de Justica]
RECEPTORES DIGITAL TELE SYSTEM TS2300 - 1-2,1290003514,1,Falso,0,UNIDADES DE RECEPTORES DIGITAL MODELO: TS2300 DA MARCA TELE SYSTEM.,[Cod2Aud:3346],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[6 andar],
POLTRONA PRESIDENTE CRATER,1290002596,1,Falso,0,POLTRONA PRESIDENTE CRATER -  ASSENTO E ENCOSTO UNIDOS POR LAMINA DE MADEIRA EM ESPUMA INJETADA DE ALTA DENSIDADE REVESTIDO EM COURO ECOLOGICO -  APOIOS PARA BRACOS EM ACO CROMADO E BASE GIRATORIA EM ACO CROMADO COM RELAX SISTEM E RODIZIOS.,[Cod2Aud:3353],Falso,1,18.08.2023 19:05,27.08.2025 16:27,[7 andar],[Gabinete dos Ministros]
APOIO PES STALO MDF - 21-22,1290004831,1,Falso,0,APOIO ERGONOMICO PARA OS PES -  MARCA STALO -  FABRICADO EM MDF -  ANTIDERRAPANTE -  PRETO,[Cod2Aud:0000],Falso,0,18.08.2023 19:07,18.08.2023 19:07,,
CADEIRA FIXA ACTIVE COURO ECO - 4-6,1290003756,1,Falso,0,CADEIRA FIXA -  ESPALDAR MEDIO INTERLOCUTORA -  MODELO ACTIVE EM COURO ECOLOGICO -  COR PRETO.,[Cod2Aud:3161],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[2 andar],[Sala Conselho Principal]
