Nome,Código QR / Valor do Código de Barras,Quantidade,O Aviso Crítico de Nível de Quantidade Está Ativado?,Nível de Quantidade Crítica,Descrição,Campo Adicional,É Favorito?,Contagem de Uso,Criar Data,Data de Actualização,Grupos Relacionados,Tags Relacionadas
TELEFONE AVAYA - 17-21,1290003868,1,Falso,0,APARELHO TELEFONICO IP DESKPHONE DO SISTEMA DE TELEFONIA IP -  MODELO: 9611G -  MARCA: AVAYA. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 11-09-2012).,[Cod2Aud:3399],Falso,1,18.08.2023 19:05,26.08.2025 17:26,[7 andar],[MPM]
Poltrona Curvada e Giratoria de Espuma KR 080 Veludo Triunfo Imbuia Mel 2/2,1290005576,0,Falso,0,,[Acoplamento: | Acoplamento:],Falso,0,26.08.2025 17:06,26.08.2025 17:06,[6 andar],[Juiz Titular]
POLTRONA PRESIDENTE PRETA 1995,1290001651,1,Falso,0,POLTRONA PRESIDENTE -  COR PRETA,[Cod2Aud:2659],Falso,1,18.08.2023 19:05,18.08.2023 19:05,,
POLTRONA FIXA GIROFLEX PRETA 26-81,1290002853,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO -  REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM DO LADO DIREITO DA FILEIRA -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  EM TUBO DE ACO -  BASE PREPARADA PRA SER FIXADA NO PISO -  PANEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO -  ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
CADEIRA GIRATORIA ENERGY COURO ECO - 11-14,1290003712,1,Falso,0,CADEIRA GIRATORIA -  ESPALDAR ALTO MODELO ENERGY EM COURO ECOLOGICO PRETO COM BRACO REGULAVEL (ENERGY ALTO 404I).,[Cod2Aud:3134],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[2 andar],[Plenario Principal]
ARMARIO ALTO 2 PORTAS (A),1290004228,1,Falso,0,ARMARIO ALTO -  2 PORTAS DE ABRIR -  MEDINDO 800X500X1600MM EM MDP -  TAMPO EM MDP DE 25MM ESPESSURA ACABAMENTO EM FITA DE BORDA PVC DE 2MM ESPESSURA -  COSTAS -  BASES E LATERAIS EM MDP DE 18MM ESPESSURA -  PUXADORES EM ALUMINIO DE 128MM -  FECHADURAS COM 2 CHAVES ESCAMOTEAVEIS -  2 PRATELEIRAS REGULAVEIS -  1 PRATELEIRA FIXA -  PORTAS DE GIRO EM MADEIRA MDP DE 18MM -  COR CARVALHO MALVA -  MARCA CADERODE.,[Cod2Aud:2681],Falso,1,18.08.2023 19:07,18.08.2023 19:07,[6 andar],[Paula]
APOIO PES STALO MDF - 20-22,1290004830,1,Falso,0,APOIO ERGONOMICO PARA OS PES -  MARCA STALO -  FABRICADO EM MDF -  ANTIDERRAPANTE -  PRETO,[Cod2Aud:0000],Falso,1,18.08.2023 19:07,18.08.2023 19:07,,
MONITOR HP 22MP55Y-B - 1 -17,1290004623,1,Falso,0,MONITOR DE VIDEO LCD FULL HD -  TELA DE 21 - 5 POLEGADAS -  DIAGONAL: 54 - 6CM -  ASPECTO DA TELA: 16:9 -  TEMPO DE RESPOSTAS: 8 MS -  RESOLUCAO: 1920 x 1080 (FULL HD) -  BRILHO: 250 CD-M? -  CONTRASTES: 1.000:1 (ESTATICO) E 5.000.000:1 (DIN?MICO) -  ?NGULOS DE VISAO (HxV): 178?x178? -  NUMERO DE CORES: 16 - 7 MILHOES -  CONECTORES: 1 (UM) DVI-D -  1 (UM) DISPLAY PORT -  1 (UM) AC -  1 (UM) VGA (D-SUB) -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 1.0A -  MODELO: 22MP55Y-B (V225hz) -  MARCA: HP. (GARANTIA: 48 (QUARENTA E OITO) MESES ON SITE A CONTAR DE 28 -12-2017).,[Cod2Aud:0000],Falso,1,18.08.2023 19:06,18.08.2023 19:06,,
TELEFONE AVAYA - 7-21,1290003857,1,Falso,0,APARELHO TELEFONICO IP DESKPHONE DO SISTEMA DE TELEFONIA IP -  MODELO: 9611G -  MARCA: AVAYA. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 11-09-2012).,[Cod2Aud:3207],Falso,1,18.08.2023 19:05,04.09.2025 19:07,[6 andar],[Cartorio]
CPM - CPPM - CF - RICARDO VERGUEIRO - 4-10,1290004372,1,Falso,0,CODIGO PENAL MILITAR -  CODIGO DE PROCESSO PENAL MILITAR -  CONSTITUICAO FEDERAL -  2015 -  13? EDICAO.,[Cod2Aud:2661],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Armario 1290003457]
POLTRONA FIXA GIROFLEX PRETA 79-81,1290002906,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
POLTRONA FIXA GIROFLEX PRETA 44-81,1290002871,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
POLTRONA FIXA GIROFLEX PRETA 17-81,1290002844,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
MONITOR HP W17E - 3 -12,1290004196,1,Falso,0,MONITOR DE VIDEO LCD -  COLORIDO -  TELA COM 17 POLEGADAS -  ?NGULO DE MOVIMENTACAO DO VISOR: -5? A 20? DE INCLINACAO VERTICAL -  TECNOLOGIA DO VISOR: MATRIZ ATIVA TFT -  CONTRAST RATIO: 500:1 -  DOT PITCH 0 - 25MM -  TEMPO DE RESPOSTAS: 8MS -  ?NGULO DE VISUALIZACAO DO VISOR: 140? NA HORIZONTAL E 130? NA VERTICAL -  LUMINOSIDADE DO VISOR: 250 NITS -  RESOLUCAO PREDEFINIDA: 1440 x 900 A 60Hz -  RESOLUCAO PREDEFINIDA ALTA: 1440 x 900 A 75Hz -  RESOLUCAO DIRECIONADA ALTA: 1440 x 900 A 75Hz -  PLUG & PLAY: VESA DDC2B -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 1.5A -  MODELO: w17E -  MARCA: HP. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 06-01-2010).,[Cod2Aud:2611],Falso,1,18.08.2023 19:05,22.08.2023 17:44,[Mezanino],[Deposito]
TELEFONE AVAYA - 21-21,1290003871,1,Falso,0,APARELHO TELEFONICO IP DESKPHONE DO SISTEMA DE TELEFONIA IP -  MODELO: 9611G -  MARCA: AVAYA. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 11-09-2012).,[Cod2Aud:1315],Falso,3,18.08.2023 19:05,04.09.2025 19:04,[7 andar],[Gabinete dos Ministros]
LONGARINA 03 LUG COURO ECO - 2-2,1290003760,1,Falso,0,LONGARINA PARA 03 LUGARES EM COURO ECOLOGICO E ESTRUTURA TUBULAR -  MODELO ACTIVE 712I -  COR PRETO.,[Cod2Aud:3129],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[2 andar],[Plenario Video]
MONITOR 20 POL LG FLATRON E2011 - 11-14,1290004225,1,Falso,0,MONITOR DE LED DE 20' -  COR PRETA -  TELA FORMATO WIDESCREEN PADRAO 16:9 COM BASE PARA COLOCACAO SOBRE UMA MESA -  REGULAGEM DE ALTURA E PERMISSAO PARA GIRO DE 90 GRAUS -  ALIMENTACAO INTERNA 110-220V -  CONEXOES D-SUB E DVI-D PADRAO PLUG & PLAY.,[Cod2Aud:2644 | Obs:000215 -15-02.00],Falso,1,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Emanuel]
APOIO PES STALO MDF - 15-22,1290004825,1,Falso,0,APOIO ERGONOMICO PARA OS PES -  MARCA STALO -  FABRICADO EM MDF -  ANTIDERRAPANTE -  PRETO,[Cod2Aud:0000],Falso,0,18.08.2023 19:07,18.08.2023 19:07,,
POLTRONA FIXA GIROFLEX PRETA 71-81,1290002898,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
POLTRONA FIXA GIROFLEX PRETA 72-81,1290002899,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
IMPRESSORA MULTIFUNCIONAL BROTHER DCPT820DW (1-2),1290005446,1,Falso,0,IMPRESSORA MULTIFUNCIONAL TECNOLOGIA DE IMPRESSAO: JATO DE TINTA COLORIDA FUNCOES: IMPRESSAO COPIA E DIGITALIZACAO. BROTHER DCPT820DW,,Falso,1,18.08.2023 19:06,18.08.2023 19:06,[Mezanino],[Almoxarifado]
LEITOR BEMATECH - 4-5,1290004406,1,Falso,0,LEITOR DE CODIGO DE BARRAS -  PORTATIL -  TECNOLOGIA: LINEAR CCD 2500 PIXEL -  FONTE DE LUZ: LED VERMELHO 625NM -  VELOCIDADE DE LEITURA: 150 LEITURAS POR SEGUNDO -  PROFUNDIDADE DO CAMPO (DIST?NCIA DE LEITURA): 0 A 90MM -  RESOLUCAO: 3 MIL -  CONTRASTE DE IMPRESSAO: 25% @ UPC-EAN 100% -  INDICADORES SONOROS: SINAL SONORO COM AJUSTE DE VOLUME E TEMPO -  INDICADORES DE LED: AZUL E VERMELHO -  INTERFACES: USB -  MODELO: BR-400 -  MARCA: bEmAtECh. (GARANTIA: 12 (DOZE) MESES A CONTAR DE 28-03-2016).,[Cod2Aud:2673],Falso,0,18.08.2023 19:06,18.08.2023 19:06,,
DESKTOP DELL OPTIPLEX 7070 INTEL CORE I5 -10500T (13 -14),1290005234,1,Falso,0,DESKTOP DELL OPTIPLEX 7070 INTEL CORE I5 -10500T WINDOWS 10 PRO SINGLE LANGUAGE 8 GB 1 DE 8 GB DDR4 MEMORIA SEM ECC BCC SSD DE 256GB PCIE NVME M.2 CLASSE 35 COM MOUSE OPTICO DELL MS 116 TECLADO ALFANUMERICO DE 107 TECLAS PADRAO PTBR E ADAPTADOR DISPLAY PORT PARA DVI,,Falso,1,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Jefferson]
SOFA 03 LUG ALMOFADAS SOLTAS PAST - 1-2,1290003638,1,Falso,0,SOFA DE 03 LUGARES PAST -  ALMOFADAS SOLTAS -  MODELO: 15.8553,[Cod2Aud:3363],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[6 andar],[Juiz Titular]
RELOGIO PAREDE HERWEG - 2-5,1290003986,1,Falso,0,RELOGIO DE PAREDE NATURAL EM VIDRO -  MARCA: QUARTZ -  MODELO: HERWEG.,[Cod2Aud:2576],Falso,1,18.08.2023 19:05,27.08.2025 18:49,[7 andar],[Administracao]
MICROONDAS CONSUL CMS45AB,1290004742,1,Falso,0,MICRO-ONDAS -  MARCA CONSUL -  MODELO CMS45AB -  BRANCO -  32 LITROS -  110V,[Cod2Aud:0000],Falso,1,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Copa]
POLTRONA GIRATORIA MARROM COM RELAX - 19-20,1290004492,1,Falso,0,POLTRONA GIRATORIA COM RELAX TRAVA APOIA BRACOS E ENCOSTO REGULAVEIS E ESPALDAR DIRETOR -  EM COURO ECOLOGICO MARROM -  MODELO CAVALETTI START. BASE GIRATORIA DESMONTAVEL COM ARANHA DE 5 HASTES,[Cod2Aud:1465],Falso,1,18.08.2023 19:05,04.09.2025 19:33,[6 andar],[Cartorio]
POLTRONA FIXA GIROFLEX PRETA 76-81,1290002903,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
TELEFONE AVAYA - 10-21,1290003860,1,Falso,0,APARELHO TELEFONICO IP DESKPHONE DO SISTEMA DE TELEFONIA IP -  MODELO: 9611G -  MARCA: AVAYA. (GARANTIA: 36 (TRINTA E SEIS) MESES A CONTAR DE 11-09-2012).,[Cod2Aud:3314],Falso,2,18.08.2023 19:05,04.09.2025 19:04,[6 andar],[Jefferson]
NOBREAK SERRANA PINOT 1600 ANO 2019  3-6,1290005035,1,Falso,0,NOBREAK MARCA SERRANA - PINOT 1600 3 AQ I -1 ENTRADA: BIVOLT TOMADA DE SAIDA N� 14136: 5 NO MODELO 1500VA.,,Falso,3,18.08.2023 19:05,10.12.2024 15:10,[2 andar],[Plenario Principal]
CPP CF LEGISLACAO 22 ED 2016 RICARDO VERGUEIRO FIGUEIREDO,1290004385,1,Falso,0,CODIGO PROCESSO PENAL -  CONSTITUICAO FEDERAL E LEGISLACAO -  2016 -  22 EDICAO.,[Cod2Aud:1437],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Armario 1290003457]
ARMARIO ALTO MISTO COM 02 PORTAS  - FORTLINE - 2-2,1290004796,1,Falso,0,ARMARIO ALTO MISTO COM 02 PORTAS -  MARCA FORTLINE -  CONFECCIONADO EM MDP -  DIMENSOES: 800X500X1600MM (LXPXH),[Cod2Aud:0000],Falso,1,18.08.2023 19:07,18.08.2023 19:07,[7 andar],[Sala de Reuniao]
ARRANJO FOLHAGEM VASO VIDRO - 2-5,1290004834,1,Falso,0,ARRANJO DE FOLHAGEM ARTIFICIAL EM VASO DE VIDRO,[Cod2Aud:0000],Falso,0,18.08.2023 19:07,18.08.2023 19:07,[6 andar],[Juiz Substituto]
MANUAL DE COMPETENCIA CRIMINAL - RENATO BRASILEIRO,1290004358,1,Falso,0,MANUAL DE COMPETENCIA CRIMINAL -  2014 -  2 EDICAO REVISTA -  AMPLIFICADA E ATUALIZADA -  RENATO BRASILEIRO DE LIMA.,[Cod2Aud:1429 | Obs:000660 -17-02.00],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Armario 1290003457]
LIQUIDIFICADOR INDUSTRIAL,1290004707,1,Falso,0,LIQUIDIFICADOR INDUSTRIAL -  2 LITROS -  MODELO: LQI-02 -  TENSAO 127-220V -  POTENCIA ELETRICA 840W-60HZ -  ROTACAO 3599RPM -  CORPO ACO INOX -  COPO ACO INOX -  CAPACIDADE 02 LITROS -  TAMPA PLASTICO -  FACAS ACO INOX 304 -  ALTURA 535MM -  LARGURA 200MM -  PROFUNDIDADE 220MM -  PESO LIQUIDO 8 - 000KG -  CONFORMIDADE: PORTARIA 371,[Cod2Aud:0000],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[Mezanino],[Almoxarifado]
GAVETEIRO 2 GAVETAS 1 PASTA SUSPENSA ARTLINE 10/21,1290003042,1,Falso,0,GAVETEIRO MESA COM RODIZIOS COM 2 GAVETAS E 1 GAVETA DE PASTA SUSPENSA -  EM LAMINADO MELAMINICO BAIXA PRESSAO -  PARTE INTERNA DAS GAVETAS EM ACO -  MEDINDO: 420X600X740MM -  COR MADEIRA -  MARCA: ARTLINE.,[Cod2Aud:3250],Falso,1,18.08.2023 19:06,28.08.2025 18:19,[6 andar],[Cartorio]
GAVETEIRO 2 GAVETAS 1 PASTA SUSPENSA ARTLINE 5/21,1290003052,1,Falso,0,GAVETEIRO MESA COM RODIZIOS COM 2 GAVETAS E 1 GAVETA DE PASTA SUSPENSA -  EM LAMINADO MELAMINICO BAIXA PRESSAO -  PARTE INTERNA DAS GAVETAS EM ACO -  MEDINDO: 420X600X740MM -  COR MADEIRA -  MARCA: ARTLINE.,[Cod2Aud:3295],Falso,1,18.08.2023 19:06,28.08.2025 18:26,[6 andar],[Cartorio]
UMIDIFICADOR G-LIFE - 7-7,1290003978,1,Falso,0,UMIDIFICADOR DE AR E IONIZADOR ULTRASONICO -  2L -  BIVOLT -  G-LIFE,[Cod2Aud:3385],Falso,1,18.08.2023 19:05,28.08.2025 17:54,[6 andar],[Juiz Titular]
POLTRONA GIRATORIA MARROM COM RELAX - 3-20,1290004476,1,Falso,0,POLTRONA GIRATORIA COM RELAX TRAVA APOIA BRACOS E ENCOSTO REGULAVEIS E ESPALDAR DIRETOR -  EM COURO ECOLOGICO MARROM -  MODELO CAVALETTI START. BASE GIRATORIA DESMONTAVEL COM ARANHA DE 5 HASTES,[Cod2Aud:1466],Falso,1,18.08.2023 19:05,04.09.2025 19:25,[6 andar],[Cartorio]
MESA DELTA TEMPO UNICO 2 -16,1290003009,1,Falso,0,MESA DELTA TAMPO UNICO -  25MM -  ESPESSURA EM LAMINADO MELAMINICO -  BAIXA PRESSAO COM CALHA PARA FIACAO -  PAINEL FRONTAL DE 18MM -  MEDINDO: 1400X1400X600X600X740MM -  COR MADEIRA -  MARCA: PONTOCOM.,[Cod2Aud:2566],Falso,1,18.08.2023 19:06,04.09.2025 17:41,[6 andar],[Cartorio]
NO BREAK BMI POWER LINE II ANO 2017 (3-7),1290004550,1,Falso,0,NOBREAK 1400VA -  BIVOLT -  MARCA BMI -  MODELO POWER LINE II -  SAIDA 115V. TECNOLOGIA DSP -  TRUE RMS -  CONEXAO USB.,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,[2 andar],[Plenario Principal]
POLTRONA FIXA GIROFLEX PRETA 47-81,1290002874,1,Falso,0,POLTRONA FIXA -  ENCOSTO MEDIO E ASSENTO REBATIVEIS -  REVESTIDA EM VINIL PRETO -  ACOMPANHA 1 PE PARA MONTAGEM NOS ASSENTOS CENTRAIS -  ESTRUTURA COM ACABAMENTO EM PINTURA PO EPOXI PRETO FOSCO -  TUBO DE ACO -  COM BASE PREPARADA PARA SER FIXADA NO PISO -  PAINEIS REVESTIDOS EM VINIL -  PRANCHETA ESCAMOTEAVEL DO LADO DIREITO EMBUTIDA NO APOIA-BRACO COM ACABAMENTO EM MELAMINA ALTA PRESSAO PRETA -  MARCA: GIROFLEX,[Cod2Aud:0000],Falso,1,18.08.2023 19:05,27.08.2025 17:37,[7 andar],[Administracao]
MONITOR HP 22MP55Y-B - 3 -17,1290004625,1,Falso,0,MONITOR DE VIDEO LCD FULL HD -  TELA DE 21 - 5 POLEGADAS -  DIAGONAL: 54 - 6CM -  ASPECTO DA TELA: 16:9 -  TEMPO DE RESPOSTAS: 8 MS -  RESOLUCAO: 1920 x 1080 (FULL HD) -  BRILHO: 250 CD-M? -  CONTRASTES: 1.000:1 (ESTATICO) E 5.000.000:1 (DIN?MICO) -  ?NGULOS DE VISAO (HxV): 178?x178? -  NUMERO DE CORES: 16 - 7 MILHOES -  CONECTORES: 1 (UM) DVI-D -  1 (UM) DISPLAY PORT -  1 (UM) AC -  1 (UM) VGA (D-SUB) -  TENSAO: 100-240V -  FREQUENCIA: 50-60HZ -  CORRENTE: 1.0A -  MODELO: 22MP55Y-B (V225hz) -  MARCA: HP. (GARANTIA: 48 (QUARENTA E OITO) MESES ON SITE A CONTAR DE 28 -12-2017).,[Cod2Aud:0000],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[1 andar],[Almoxarifado]
GAVETEIRO 2 GAVETAS 1 PASTA SUSPENSA ARTLINE 12/21,1290003044,1,Falso,0,GAVETEIRO MESA COM RODIZIOS COM 2 GAVETAS E 1 GAVETA DE PASTA SUSPENSA -  EM LAMINADO MELAMINICO BAIXA PRESSAO -  PARTE INTERNA DAS GAVETAS EM ACO -  MEDINDO: 420X600X740MM -  COR MADEIRA -  MARCA: ARTLINE.,[Cod2Aud:3264],Falso,1,18.08.2023 19:06,28.08.2025 18:23,[6 andar],[Cartorio]
CADEIRA GIRATORIA ENERGY COURO ECO - 9-14,1290003710,1,Falso,0,CADEIRA GIRATORIA -  ESPALDAR ALTO MODELO ENERGY EM COURO ECOLOGICO PRETO COM BRACO REGULAVEL (ENERGY ALTO 404I).,[Cod2Aud:3127],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[2 andar],[Plenario Video]
VEICULO TOYOTA COROLLA EBV5460,1290004855,1,Falso,0,VEICULO MARCA TOYOTA -  MODELO COROLLA GLI UPPER 1.8L FFV CVT -  ANO FAB. 2018 -  ANO MODELO 2019. MOTOR 4 TEMPOS -  16 VALVULAS. COMBUSTIVEL: ALCOOL-GASOLINA -  COM SISTEMA DE INJECAO ELETRONICA DE COMBUSTIVEL -  DIRECAO ELETRO ASSISTIDA -  144 CV -  4 CILINDROS -  4 PORTAS -  TRANSMISSAO AUTOMATICA -  TRACAO 2 RODAS -  1.798 CM3 -  6.000 RPM -  CAPACIDADE: 05 PASSAGEIROS -  COR: PRETO ECLIPSE METALICO -  NUMERO DE EIXOS: 2 -  DIST?NCIA ENTRE EIXOS: 2.700 -  NUMERO EIXO TRASEIRO: 0752343 -  NUMERO CAMBIO: 9518801586 -  NUMERO DO MOTOR: M596041 -  NUMERO DA CHAVE: BZ9I6. EQUIPAMENTOS OBRIGATORIOS : 01 TRIANGULO  -  01 MACACO C-CABO -  01 CHAVE DE RODAS. NUMERO DO CHASSIS: 9BRBL3HE3K0175761 -  PLACA: EBV5460. PRAZO DE GARANTIA: 36 MESES,[Cod2Aud:0000],Falso,0,18.08.2023 19:05,18.08.2023 19:05,,
POLTRONA GIRATORIA MARROM COM RELAX - 17-20,1290004490,1,Falso,0,POLTRONA GIRATORIA COM RELAX TRAVA APOIA BRACOS E ENCOSTO REGULAVEIS E ESPALDAR DIRETOR -  EM COURO ECOLOGICO MARROM -  MODELO CAVALETTI START. BASE GIRATORIA DESMONTAVEL COM ARANHA DE 5 HASTES,[Cod2Aud:1470],Falso,1,18.08.2023 19:05,18.08.2023 19:05,[6 andar],[Paulo]
IMPRESSORA MULTIFUNCIONAL PRETA HP INK TANK 416 (2-2),1290005456,1,Falso,0,IMPRESSORA MULTIFUNCIONAL COR:  PRETA TECNOLOGIA DE IMPRESSAO: JATO DE TINTA TERMICO FUNCOES: IMPRESSAO COPIA E DIGITALIZACAO HP INK TANK 416,,Falso,1,18.08.2023 19:06,18.08.2023 19:06,[Mezanino],[Almoxarifado]
CADEIRA FIXA ACTIVE COURO ECO - 1-6,1290003753,1,Falso,0,CADEIRA FIXA -  ESPALDAR MEDIO INTERLOCUTORA -  MODELO ACTIVE EM COURO ECOLOGICO -  COR PRETO.,[Cod2Aud:3163],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[2 andar],[Sala Conselho Principal]
SUPORTE MONITOR STALO - 22-22,1290004702,1,Falso,0,SUPORTE PARA MONITOR TRIPLO 9768 -  MARCA STALO,[Cod2Aud:0000],Falso,1,18.08.2023 19:05,09.09.2025 17:06,[6 andar],[Cartorio]
COISA JULGADA E PRECLUSOES DINAMICAS 2019 ANTONIO PASSO CABRAL,1290004886,1,Falso,0,COISA JULGADA E PRECLUSOES DIN?MICAS: ENTRE CONTINUIDADE -  MUDANCA E TRANSICAO DE POSICOES PROCESSUAIS ESTAVEIS. AUTOR: ANTONIO DO PASSO CABRAL. 2A EDICAO -  2019. EDITORA JUSPODIVM.,[Cod2Aud:0000],Falso,0,18.08.2023 19:06,18.08.2023 19:06,[6 andar],[Armario 1290003457]
APOIO PES STALO MDF - 5-22,1290004815,1,Falso,0,APOIO ERGONOMICO PARA OS PES -  MARCA STALO -  FABRICADO EM MDF -  ANTIDERRAPANTE -  PRETO,[Cod2Aud:0000],Falso,1,18.08.2023 19:07,18.08.2023 19:07,[6 andar],[Bruno]
